sz,accp4,FIFO,ARC,LHD,GDSF,TwoQ,S4LRU,LeCaR,Cacheus,WTinyLFU,Clock,Hyperbolic,S3FIFO,LRU,LFU
10,0.8572,0.8975,0.8811,0.8864,0.8594,0.8665,0.8659,0.8917,0.8798,0.851,0.8917,0.8913,0.8568,0.8927,0.9128
20,0.795,0.879,0.836,0.8529,0.8177,0.8146,0.8179,0.8726,0.8398,0.8165,0.8708,0.8699,0.7984,0.8739,0.8783
30,0.7445,0.8561,0.7687,0.8303,0.7803,0.7658,0.7781,0.851,0.8031,0.7474,0.8492,0.8496,0.7494,0.8531,0.8531
40,0.7108,0.833,0.7328,0.8025,0.7461,0.7266,0.7482,0.8234,0.7687,0.7434,0.8233,0.8279,0.7142,0.827,0.8352
50,0.6873,0.8121,0.707,0.7811,0.7184,0.6962,0.7215,0.7984,0.7347,0.6896,0.7982,0.8048,0.6899,0.8031,0.8156
60,0.6651,0.7948,0.6874,0.7634,0.6972,0.6711,0.6975,0.7767,0.7201,0.6926,0.7756,0.7845,0.6584,0.7832,0.8002
70,0.6412,0.7796,0.6723,0.7505,0.6788,0.6512,0.6774,0.7583,0.6971,0.646,0.7565,0.7658,0.6396,0.7648,0.7857
80,0.6166,0.7649,0.6558,0.7386,0.6614,0.6343,0.6603,0.7407,0.6798,0.6556,0.7379,0.7488,0.6222,0.7478,0.7688
90,0.5992,0.7532,0.6353,0.7282,0.6433,0.6204,0.6424,0.7252,0.6714,0.6146,0.7216,0.7326,0.6068,0.7331,0.7483
100,0.5848,0.7406,0.6099,0.714,0.6278,0.6068,0.6268,0.711,0.657,0.6275,0.7064,0.7174,0.5925,0.7196,0.7294
110,0.5722,0.7291,0.5866,0.7051,0.6127,0.5932,0.6121,0.697,0.6323,0.5843,0.6939,0.6973,0.5792,0.7063,0.7154
120,0.5604,0.7201,0.5661,0.6938,0.6011,0.5815,0.5985,0.6841,0.6255,0.6072,0.6822,0.683,0.569,0.6949,0.693
130,0.5495,0.7108,0.5548,0.6845,0.5905,0.571,0.5862,0.6729,0.6213,0.5545,0.6716,0.6703,0.5582,0.683,0.6795
140,0.5394,0.7036,0.5452,0.6761,0.5815,0.5629,0.5749,0.6617,0.6177,0.5875,0.6607,0.6586,0.5489,0.6728,0.6701
150,0.5254,0.6961,0.5855,0.6661,0.5732,0.5577,0.5593,0.65,0.6179,0.5273,0.6526,0.6475,0.5418,0.6635,0.6611
160,0.5048,0.6887,0.6082,0.6569,0.5656,0.5536,0.5477,0.6427,0.6173,0.5642,0.6432,0.637,0.5331,0.6556,0.6498
170,0.4797,0.6831,0.609,0.647,0.5585,0.5496,0.5375,0.6356,0.6182,0.5018,0.6355,0.6271,0.524,0.6483,0.6391
180,0.4635,0.6776,0.596,0.6389,0.551,0.5468,0.528,0.6326,0.619,0.5431,0.6243,0.6176,0.5037,0.6418,0.6315
190,0.4476,0.6717,0.5787,0.6319,0.5443,0.5444,0.518,0.6288,0.612,0.4773,0.6146,0.6084,0.4903,0.6361,0.6249
200,0.4313,0.6666,0.5567,0.6249,0.5377,0.5406,0.5058,0.6244,0.521,0.5186,0.6078,0.5994,0.474,0.6297,0.6175