,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.1878,0.116,0.189,0.1981,0.2317,0.2071,0.2127,0.1997,0.5968,0.1725,0.1857,0.2,0.1925,0.1752,0.1734,0.1845,0.174,0.1755,0.1753
cluster5.oracleGeneral.zst_10458446348,0.2513,0.211,0.2547,0.2529,0.2596,0.2455,0.2348,0.2434,0.8123,0.2441,0.2506,0.2503,0.2519,0.2427,0.2345,0.241,0.2333,0.2398,0.234
cluster4.oracleGeneral.zst_3448082328,0.1158,0.0727,0.1106,0.1149,0.137,0.1202,0.1168,0.1216,0.6053,0.1035,0.1151,0.1141,0.1116,0.1061,0.1027,0.1078,0.1036,0.1152,0.1051
cluster50.oracleGeneral.zst_139655585,0.7125,0.4924,0.7024,0.7048,0.7127,0.6855,0.7032,0.7013,0.9738,0.6521,0.8533,0.7114,0.6707,0.6623,0.67,0.6945,0.6859,0.822,0.6562
cluster27.oracleGeneral.zst_12060815269,0.6557,0.5743,0.6548,0.6705,0.689,0.6633,0.6567,0.6678,0.9221,0.6485,0.6598,0.6753,0.6592,0.6438,0.6484,0.6507,0.6557,0.6926,0.6434
cluster21.oracleGeneral.zst_1550193320,0.9424,0.9375,0.9417,0.9442,0.9467,0.9445,0.9427,0.9432,0.9625,0.9433,0.9447,0.9446,0.9443,0.9428,0.9421,0.9439,0.9435,0.954,0.9433
cluster11.oracleGeneral.zst_2731402190,0.4616,0.3358,0.4532,0.4692,0.5031,0.4705,0.444,0.463,0.7915,0.4333,0.4625,0.4716,0.4603,0.4361,0.4282,0.4447,0.4258,0.4554,0.4315
cluster26.oracleGeneral.zst_156594627,0.0794,0.0781,0.0794,0.0795,0.0841,0.0954,0.0807,0.0861,0.8996,0.0788,0.0936,0.0794,0.0794,0.0796,0.0809,0.0794,0.0898,0.238,0.0899
cluster16.oracleGeneral.zst_10791885322,0.2287,0.1355,0.2306,0.2221,0.2638,0.2313,0.2411,0.2306,0.8697,0.2052,0.2286,0.2234,0.2116,0.2025,0.2016,0.2088,0.2061,0.3713,0.2022
cluster23.oracleGeneral.zst_5333543178,0.2717,0.2703,,0.2721,0.2723,0.2739,0.2717,0.2721,0.6988,0.271,0.2831,0.2718,0.2719,0.2739,0.2736,0.2721,0.2716,0.3149,0.2737
cluster28.oracleGeneral.zst_5267932037,0.0468,0.0302,0.0438,0.0453,0.0566,0.0524,0.0737,0.0729,0.7138,0.0432,0.0464,0.0448,0.0444,0.0464,0.0464,0.0453,0.0475,0.0588,0.0481
cluster48.oracleGeneral.zst_1129939853,0.6457,0.482,0.6574,0.6605,0.6857,0.6626,0.644,0.6613,0.9736,0.6294,0.645,0.6607,0.6589,0.6355,0.624,0.6466,0.6329,0.7435,0.6296
cluster41.oracleGeneral.zst_3214344864,0.1821,0.1201,0.1815,0.1875,0.2022,0.1788,0.1711,0.1777,0.9151,0.1616,0.1817,0.1815,0.1834,0.1701,0.1573,0.1652,0.1624,0.171,0.1587
cluster51.oracleGeneral.zst_6322932555,0.1699,0.0915,0.1677,0.1677,0.2048,0.1726,0.195,0.1766,0.7374,0.1411,0.1756,0.1686,0.1606,0.1461,0.1383,0.1508,0.1437,0.1557,0.1451
cluster7.oracleGeneral.zst_1044513075,0.2175,0.1771,0.2195,0.22,0.2318,0.2263,0.2031,0.2204,0.6286,0.197,0.2223,0.2153,0.2185,0.2107,0.2078,0.219,0.1948,0.1989,0.2049
cluster3.oracleGeneral.zst_820307312,0.1304,0.0823,0.1373,0.1433,0.1781,0.1468,0.1641,0.155,0.8817,0.1211,0.1299,0.1471,0.1396,0.1225,0.1195,0.1267,0.1274,0.1254,0.123
cluster46.oracleGeneral.zst_6610320613,0.2337,0.1978,0.2306,0.2322,0.2367,0.231,0.2227,0.2298,0.6483,0.2242,0.2333,0.2306,0.2317,0.2259,0.2245,0.225,0.2164,0.2201,0.2221
cluster30.oracleGeneral.zst_2554900851,0.1014,0.0654,0.1096,0.1148,0.1482,0.1198,0.1195,0.1358,0.6054,0.0891,0.1005,0.1175,0.1136,0.0956,0.0906,0.0997,0.0982,0.0895,0.0966
cluster17.oracleGeneral.zst_9772999471,0.0905,0.0516,0.0899,0.0938,0.1204,0.0987,0.1179,0.0922,0.398,0.0812,0.0896,0.0945,0.0883,0.0811,0.0789,0.0856,0.0812,0.082,0.0809
cluster20.oracleGeneral.zst_3663259123,0.0786,0.0612,,0.0796,0.0869,0.0786,0.0793,0.079,0.5885,0.077,0.0784,0.0805,0.0773,0.0756,0.0758,0.0764,0.0785,0.0868,0.076
cluster14.oracleGeneral.zst_3029143401,0.243,0.1699,0.2549,0.2743,0.3009,0.2691,0.2601,0.2686,0.784,0.225,0.238,0.2772,0.2444,0.233,0.2166,0.234,0.2186,0.2216,0.2277
cluster52.oracleGeneral.zst_13426570607,0.1461,0.0952,0.1513,0.1488,0.1685,0.1534,0.1362,0.1479,0.7638,0.1307,0.1439,0.1472,0.1442,0.1342,0.1293,0.1422,0.1262,0.1274,0.1312
cluster6.oracleGeneral.zst_8376428572,0.1423,0.0753,0.1479,0.1523,0.2084,0.1608,0.1704,0.187,0.8572,0.1211,0.1367,0.1543,0.1434,0.1301,0.1244,0.1352,0.1362,0.1175,0.1314
cluster19.oracleGeneral.zst_2006896318,0.5963,0.424,0.5933,0.6008,0.6087,0.6005,0.5878,0.6003,0.9809,0.5717,0.5974,0.597,0.5966,0.5881,0.5649,0.5861,0.5718,0.6289,0.5804
cluster34.oracleGeneral.zst_2147047915,0.5008,0.4419,0.5044,0.5145,0.5349,0.514,0.4875,0.5109,0.62,0.4764,0.5067,0.5165,0.5143,0.4898,0.4684,0.4802,0.4703,0.48,0.4868
cluster38.oracleGeneral.zst_1342423951,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9972,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster39.oracleGeneral.zst_1329229014,0.9384,0.9383,0.9383,0.9383,0.9383,0.9384,0.9383,0.9383,0.9972,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster24.oracleGeneral.zst_3289457233,0.1253,0.0748,0.134,0.1346,0.1684,0.1399,0.1353,0.1315,0.5152,0.1138,0.1241,0.1355,0.1294,0.1163,0.1111,0.1209,0.1157,0.1114,0.1157
cluster45.oracleGeneral.zst_227773739,0.4635,0.3912,0.4673,0.4697,0.4824,0.4648,0.4495,0.4636,0.7836,0.4543,0.4636,0.4702,0.4635,0.4532,0.4422,0.453,0.4459,0.4537,0.4498
cluster44.oracleGeneral.zst_5702089313,0.165,0.1043,0.1725,0.1749,0.2082,0.1787,0.1698,0.1711,0.6194,0.1516,0.1639,0.1781,0.1724,0.1527,0.1483,0.1574,0.1542,0.1559,0.1522
cluster22.oracleGeneral.zst_2030691718,0.3516,0.2838,0.3461,0.3496,0.3605,0.3524,0.3417,0.3491,0.7486,0.3414,0.3602,0.3491,0.3472,0.3477,0.3473,0.3451,0.3503,0.3996,0.3463
cluster42.oracleGeneral.zst_3904264364,0.0819,0.0428,0.0809,0.0855,0.1064,0.0889,0.0917,0.0978,0.8793,0.0621,0.0812,0.0821,0.0818,0.0746,0.0642,0.0745,0.0697,0.0603,0.0653
cluster43.oracleGeneral.zst_9038233795,0.1506,0.0944,0.1506,0.1556,0.1741,0.148,0.14,0.1444,0.7252,0.1336,0.1506,0.1506,0.152,0.139,0.1265,0.1355,0.1314,0.1323,0.1341
cluster9.oracleGeneral.zst_10646675648,0.0632,0.0317,0.0644,0.0614,0.0848,0.0675,0.1045,0.0721,0.6888,0.0542,0.0638,0.0605,0.0589,0.0552,0.0531,0.0571,0.0549,0.0577,0.0537
cluster8.oracleGeneral.zst_1302137879,0.5058,0.4634,0.6963,0.6058,0.5164,0.7213,0.5927,0.6107,0.9904,0.4987,0.9887,0.5482,0.5488,0.859,0.8541,0.8141,0.7336,0.9132,0.852
cluster54.oracleGeneral.zst_11866133317,0.4713,0.3082,0.4805,0.5051,0.5622,0.5103,0.4327,0.4972,0.5123,0.4343,0.4697,0.5133,0.512,0.4464,0.4336,0.4541,0.4531,0.4224,0.4491
cluster36.oracleGeneral.zst_5781263748,0.1537,0.0978,0.1603,0.1563,0.1749,0.1622,0.1422,0.1545,0.667,0.1362,0.1523,0.1528,0.1525,0.1417,0.1362,0.15,0.131,0.1329,0.1378
cluster10.oracleGeneral.zst_139150615,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.9446,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.7853,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
cluster49.oracleGeneral.zst_799295267,0.4162,0.2559,0.3691,0.3722,0.3978,0.3976,0.367,0.3692,0.9742,0.3603,0.6196,0.3728,0.3692,0.3899,0.4175,0.3756,0.3775,0.8053,0.4115
cluster37.oracleGeneral.zst_3168270709,0.2364,0.2211,0.2385,0.2376,0.2433,0.2371,0.2342,0.2383,0.7915,0.2331,0.2363,0.2366,0.2369,0.2338,0.232,0.2336,0.233,0.2472,0.2329
cluster31.oracleGeneral.zst_1341176720,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9972,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,0.1597,0.1015,0.1741,0.1816,0.2273,0.1853,0.2081,0.2014,0.9439,0.1463,0.159,0.188,0.1795,0.1514,0.1484,0.1563,0.1594,0.1471,0.1536
cluster2.oracleGeneral.zst_7226679214,0.0226,0.0142,0.0232,0.0222,0.0245,0.0291,0.0207,0.0343,0.8409,0.0215,0.022,0.0218,0.0222,0.0211,0.0211,0.0221,0.0193,0.0204,0.0192
cluster33.oracleGeneral.zst_6705048996,0.0941,0.0543,0.0921,0.0892,0.1073,0.0901,0.0858,0.0973,0.819,0.0737,0.0938,0.089,0.0849,0.0777,0.0711,0.0796,0.0735,0.0783,0.076
cluster13.oracleGeneral.zst_825381985,0.6282,0.6279,0.628,0.628,0.628,0.6283,0.628,0.628,0.9969,0.628,0.6302,0.628,0.628,0.6282,0.6283,0.6281,0.628,0.6321,0.6282
cluster29.oracleGeneral.zst_6920247859,0.1451,0.0919,0.1563,0.1505,0.171,0.1622,0.1383,0.1626,0.7546,0.1279,0.1446,0.1445,0.1478,0.1343,0.1266,0.1428,0.1229,0.159,0.1252
cluster40.oracleGeneral.zst_3847885075,0.1941,0.1207,0.1827,0.1882,0.2029,0.1797,0.1721,0.1794,0.9216,0.1634,0.1826,0.1827,0.1844,0.1713,0.1582,0.1665,0.1633,0.2393,0.1595
cluster53.oracleGeneral.zst_246508262,0.2487,0.1574,0.2468,0.257,0.3215,0.2727,0.2608,0.2645,0.6815,0.2312,0.2493,0.2569,0.2506,0.2319,0.2232,0.2424,0.228,0.2378,0.231
cluster1.oracleGeneral.zst_6461081324,0.3799,0.1723,0.3671,0.3557,0.3936,0.3786,0.4133,0.3416,0.6542,0.339,0.4224,0.3558,0.3499,0.3406,0.3312,0.338,0.3441,0.3671,0.3432
